config,name,latency_min,latency_max,latency_mean,latency_stdev,duration,requests,bytes,req_per_sec,byte_per_sec
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg hello aa",312.00,56265.00,3463.60,1971.81,10007511,143324,50450050,14321.64,5041218.54
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","koa1 view",447.00,69082.00,3723.47,3281.74,10102745,151161,396495303,14962.37,39246294.25
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","koa2 view",142.00,76804.00,3788.65,3904.57,10101934,155280,407299440,15371.31,40318956.75
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg nunjucks view",348.00,97060.00,6352.60,5091.41,10024186,84731,240043301,8452.66,23946413.30
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg ejs view",267.00,45316.00,4968.07,3041.28,10101352,102707,292201545,10167.65,28926973.83
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg nunjucks view aa",641.00,57050.00,6501.76,4745.98,10017710,81888,232971720,8174.32,23255985.65
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg ejs view aa",367.00,77192.00,4962.91,3135.13,10102518,103702,295654531,10264.97,29265429.77
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg passport",211.00,73718.00,3345.68,1925.28,10007391,147221,51527351,14711.23,5148929.53
"egg@1.5.0, node@v9.0.0-nightly201706223e178848a5","egg passport aa",196.00,33678.00,2844.41,1051.05,10101423,170071,60205134,16836.34,5960064.64
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","koa1 hello",107.00,38567.00,1670.77,1014.24,10103367,300444,47770596,29737.02,4728185.76
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","koa2 hello",184.00,32475.00,1655.41,877.38,10100232,297851,47358309,29489.52,4688833.78
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg hello",244.00,30787.00,2709.82,1104.97,10005734,179151,63061152,17904.83,6302501.35
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg hello aa",144.00,27797.00,2610.55,1040.86,10100204,185853,65420256,18400.92,6477122.24
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","koa1 view",264.00,84150.00,3204.62,2882.98,10007881,165541,434214043,16541.06,43387210.84
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","koa2 view",300.00,51954.00,3181.14,2283.11,10006341,163549,428989027,16344.54,42871717.74
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg nunjucks view",266.00,69042.00,5850.02,3709.49,10013646,87706,248471356,8758.65,24813275.40
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg ejs view",260.00,57118.00,5113.28,3186.09,10103188,99527,283154400,9851.05,28026242.81
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg nunjucks view aa",644.00,31532.00,5960.67,3594.27,10016262,85753,243967560,8561.38,24357146.41
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg ejs view aa",236.00,59834.00,5352.48,3359.41,10013412,95218,271466655,9509.05,27110305.16
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg passport",177.00,68965.00,3413.46,2303.57,10104022,148783,52074052,14725.13,5153794.40
"egg@1.5.0, node@v9.0.0-v8-canary20170622fbb8f9c731","egg passport aa",249.00,35685.00,2637.44,1147.94,10101445,185182,65554428,18332.23,6489608.96
